146,50,57,179,255,255
156,37,90,179,255,255
112,19,108,179,255,255
0,51,145,179,255,244
0,85,130,179,255,234
23,56,142,179,255,209
16,29,115,179,255,255
112,14,130,179,255,255
161,55,82,179,255,255
125,23,0,179,255,255
144,0,58,179,255,255
125,23,71,179,255,255
117,36,102,179,255,255
128,11,101,179,255,255
45,81,108,179,255,255
103,0,0,179,255,195
153,0,0,179,255,255
0,45,66,179,255,255
85,34,16,179,255,255
0,48,96,179,255,255
0,0,120,105,255,255
0,23,126,179,166,255
0,36,242,179,166,255
0,16,92,12,255,255
0,49,162,179,255,255
0,41,162,179,140,255
0,48,148,179,150,255
0,112,131,179,250,255
0,94,101,101,255,255
0,62,114,179,198,238
0,0,148,63,255,255
19,0,144,47,255,255
22,0,120,41,255,255
17,52,121,41,255,255
16,0,167,49,255,255
17,49,152,35,255,255
21,49,167,39,255,255
17,49,167,39,255,255
0,25,64,25,255,255
19,30,142,35,255,255
126,60,60,179,255,255
0,200,68,179,255,204
170,0,0,179,255,255
172,0,0,179,255,255
0,114,64,179,255,176
0,153,0,179,255,225
0,134,0,179,233,184
0,120,53,179,255,235
0,129,89,179,255,230
0,110,85,179,255,185
0,59,59,179,255,170
77,41,0,179,182,216
125,4,0,179,184,192
119,13,0,172,255,255
151,50,50,179,188,255
98,33,0,179,164,152
113,27,20,155,172,215
140,13,0,168,255,255
145,58,0,179,203,222
122,5,0,179,141,255
0,48,110,179,255,255
6,65,110,127,255,255
0,78,0,11,255,255
0,75,124,179,255,255
0,74,103,98,255,255
0,39,119,14,255,255
0,43,61,20,255,255
0,73,1,8,255,255
0,86,0,8,255,255
0,81,0,13,255,255
22,26,170,38,255,255
14,41,137,68,255,255
12,30,0,35,255,255
12,96,0,35,255,255
27,52,116,38,215,250
0,74,132,38,255,255
17,73,132,42,255,255
13,50,97,30,255,255
12,89,5,28,255,255
13,94,32,27,255,255
